"fa","en"
"۱۳ ساله","13-year-old"
"۱۴ ساله","14-year-old"
"۱۵ ساله","15-year-old"
"۱۶ ساله","16-year-old"
"۱۶ ساله، کانون اصلاح و تربیت","16-year-old, Youth detention center"
"۱۷ ساله","17-year-old"
"۱۷ ساله کانون اصلا‌ح وتربیت زندان لاکان","17-year-old, Youth detention center of Lakaan Prison"
"۱۸ آبان","November 9th, 2022"
"۱۸ ساله","18-year-old"
"۱۸ ساله - زندان فشافویه","18-year-old, Fashafouyeh Prison"
"۱۹ ساله","19-year-old"
"۱۹ ساله - زندان فشافویه","19-year-old, Fashafouyeh Prison"
"۲۰ ساله","20-year-old"
"۲۱ ساله - زندان فشافویه","20-year-old, Fashafouyeh Prison"
"۲۳ ساله - زندان فشافویه","20-year-old, Fashafouyeh Prison"
"۲۶ ساله - زندان فشافویه","20-year-old, Fashafouyeh Prison"
"۲۷ ساله - زندان فشافویه","20-year-old, Fashafouyeh Prison"
"۳۲ ساله - زندان فشافویه","20-year-old, Fashafouyeh Prison"
"آتشنشان","Firefighter"
"آرایشگر","Hair stylist"
"ادمین چند کانال تلگرامی ورزشی","Admin of several sports telegram channels"
"ارجاع به دادگاه ، قرچک","Referral to court, Qarchak"
"از کرج به شیراز منتقل شد","He was transferred from Karaj to Shiraz"
"استاد دانشگاه الزهرا","Al-Zahra University professor"
"استاد و مربی یوگای","Yoga teacher and instructor"
"استادیار دانشگاه آزاد","Assistant Professor of Azad University"
"اصفهان","Esfahan"
"اقتصاددان","Economist"
"اکباتان","Ekbatan"
"انجمن صنفی","Union member"
"اهل  بهشهر","From Behshahr"
"اهل بوکان","From Bukan"
"اهل سقز، سرباز در تهران","From Saqiz, Military service in Tehran"
"اهل کرمانشاه","From Kermanshah"
"اهل لرستان","From Lorestan"
"اهل همدان","from Hamadan"
"اوین","Evin"
"اوین - نویسنده و مترجم","Evin, Writer and translator"
"اوین/ نقاش","Evin, Painter"
"ایتالیایی","Italian"
"ایرانی- آمریکایی","Irannian-American"
"اینفلونسر اینستاگرام","Instagram Influencer"
"بازداشت با ضرب و شتم","Arrest by beating"
"بازداشت دوباره","Re-arrest"
"بازداشت دوباره - دیزل آباد کرمانشاه","Arrested again - Diesel Abad, Kermanshah"
"بازداشت دوم","Second arrest"
"بازیکن تیم فوتبال پرسپولیس","Persepolis football team player"
"بازیگر","Actor"
"بازیگر - هنرمند","Actor - artist"
"بازیگر تئاتر","Theater actor"
"بازیگر تئاتر و سینما","Theater and cinema actor"
"بازیگر سینما","Actor"
"بازیگر و هنرمند تئاتر","Actor and theater artist"
"بازیگر، کارگردان تئاتر و سرپرست گروه هنری هیچ - اکباتان","Actor, theater director and head of the Hitch art group, Ekbatan,Tehran"
"بخاطر ساخت کلیپ گل دادن به مردم","For making a clip of giving flowers to people"
"برادر  بهاالدین ویسی کشته شده در اعتراضات","The brother of Bahauddin Veisi who was killed in the protests"
"برادر جواد حیدری از کشته شدگان اعتراضات","The brother of Javad Heydari who was killed in the protests"
"برادر محمد اختیارزاده","Mohammad Ekhtiarzadeh's brother"
"برادر مهدی حاجتی فعال سیاسی","Mehdi Hajati(Political activist) brother"
"برنامه‌نویس","Programmer"
"بلاگر","Blogger"
"بلاگر هنری","Art Blogger"
"بند 209","Evin Prison, Section 209"
"بند زنان زندان مراغه","Women's Ward of Maragheh Prison"
"بهایی","Bahaei"
"بیماری تالاسمی","Thalassemia disease"
"بیماری تنفسی","Respiratory disease"
"بیماری صرع","Epilepsy"
"بیماری قلبی دارد","With heart disease"
"پارکور کار و رقصنده","Parkour work and dancer"
"پدر سپهر شریفی کشته شده اعتراضات","The father of Sepehr Sharifi who was killed during the protests"
"پدر کومار درافتاده نوجوان ۱۶ ساله‌ای که در جریان تظاهرات  کشته شد","The father of Kumar Drafateh, a 16-year-old teenager who was killed during the demonstration"
"پرستار اهل سنندج","Nurse from Sanandaj"
"پرونده اکباتان","Ekbatan's case"
"پرونده اکباتان- به همراه همسر و دو پسرش دستگیر شده","Ekbatan case - he was arrested along with his wife and two sons"
"پرونده در دادگاه انقلاب قزوین","Case in Qazvin Revolutionary Court"
"پرونده‌ی ۲۵ آبان در اصفهان","The case of November 16th in Isfahan"
"پزشک","Doctor"
"پزشک متخصص","Specialist"
"پزشک- زندان عادل آباد","Doctor - Adel Abad prison"
"پژوهشگر و مستندساز","Researcher and documentary maker"
"پس از آزادی در بیمارستان جان باخت","He died in the hospital after his release"
"پس از آزدای با وثیقه به بیمارستان منتقل
 شد و سپس جان باخت","After being released on bail, he was taken to the hospital and then died"
"پیرو آئین یارسان","Yarsan(Religious minority)"
"تاریخ کشته شدن: ۱۷ آذر","Killed date: December 8th, 2022"
"تبعه افغانستان","Citizen of Afghanistan"
"تتوکار","Tattoo artist"
"تجمع مقابل بیمارستان سینا برای حسین رونقی","Gathering in front of Sinai Hospital for Hossein Ronagi"
"تنها زن یونی سایکلیست ایران","Iran's only female unicyclist"
"تهییه کننده موسیقی","Music producer"
"جامعه شناس، ایرانگرد","Sociologist, Iranian traveller"
"جامعه‌شناس","Sociologist"
"حدالقل ۴۰ ساچمه خورده","Hit by at least 40 shot gun bullets"
